"question_id","dimension","candidate_question","answer_scale","needs_paper_text"
"COV_1","Coverage","Does the review identify the paper's main task, contribution, method, and central claims accurately enough for the rest of the feedback to be interpretable?","yes/partial/no/not_applicable","yes"
"COV_2","Coverage","Does the review cover the paper's evaluation setup, datasets or benchmarks, and main empirical findings when these are relevant?","yes/partial/no/not_applicable","yes"
"COV_3","Coverage","Does the review consider whether the empirical scope covers relevant tasks, datasets, evaluation conditions, and generalisation settings?","yes/partial/no/not_applicable","yes"
"SUB_1","Substance","Does the review assess the novelty, significance, motivation, or gap-addressing value of the work rather than only restating the authors' claims?","yes/partial/no/not_applicable","yes"
"SUB_2","Substance","Does the review substantively assess the method design, component rationale, technical depth, simplicity, or implementation choices?","yes/partial/no/not_applicable","yes"
"SUB_3","Substance","Where relevant, does the review assess the value, validity, or usefulness of datasets, benchmarks, resources, code, models, or other artifacts?","yes/partial/no/not_applicable","yes"
"SUB_4","Substance","Does the review judge whether the relevant baselines, comparisons, metrics, or empirical evidence are adequate for supporting the paper's contribution?","yes/partial/no/not_applicable","yes"
"REA_1","Reasoning","Does the review check whether major claims follow from the evidence, results, and internal logic of the paper?","yes/partial/no/not_applicable","yes"
"REA_2","Reasoning","Does the review evaluate the appropriateness of metrics, measurement choices, statistical analysis, human evaluation, or construct operationalisation?","yes/partial/no/not_applicable","yes"
"REA_3","Reasoning","Does the review identify confounds, unfair comparisons, alternative explanations, or threats to causal or comparative interpretation?","yes/partial/no/not_applicable","yes"
"REA_4a","Reasoning","Does the review assess or request ablations, robustness checks, or sensitivity tests that would test whether the paper's claims hold?","yes/partial/no/not_applicable","yes"
"REA_4b","Reasoning","Does the review assess or request diagnostic, error, qualitative, or mechanistic analyses that would explain why the results occur?","yes/partial/no/not_applicable","yes"
"GRO_1","Grounding","Are the review's factual claims and evaluative judgements grounded in specific paper content, reported results, figures, tables, or examples?","yes/partial/no/not_applicable","yes"
"GRO_2","Grounding","Are novelty, related-work, and positioning judgements grounded in concrete prior work, baselines, citations, or scholarly context?","yes/partial/no/not_applicable","yes"
"GRO_3","Grounding","Does the review avoid unsupported or hallucinated criticisms by tying negative feedback to evidence in the manuscript or verifiable scholarly context?","yes/partial/no/not_applicable","yes"
"CON_1","Constructiveness","Are the review's suggestions actionable, concrete, and tied to the specific issue being raised?","yes/partial/no/not_applicable","partial"
"CON_2","Constructiveness","Does the review request concrete missing details needed for reproducibility, method reporting, setup clarification, or data documentation?","yes/partial/no/not_applicable","yes"
"CON_3a","Constructiveness","When asking for more empirical support, does the review specify concrete additional experiments, baselines, comparisons, or robustness checks rather than generic additions?","yes/partial/no/not_applicable","partial"
"CON_3b","Constructiveness","When asking for more explanatory support, does the review specify concrete analyses, examples, case studies, or error analyses rather than generic additions?","yes/partial/no/not_applicable","partial"
"IND_1","Independence","Does the review raise independent weaknesses or risks beyond simply echoing limitations already stated by the authors?","yes/partial/no/not_applicable","yes"
"SPE_1","Specificity","Does the review use specific references to methods, variables, datasets, results, examples, sections, citations, or claims when making feedback?","yes/partial/no/not_applicable","partial"
"SPE_2","Specificity","When the review asks for clarification or revision, does it name the missing, unclear, or problematic information precisely?","yes/partial/no/not_applicable","partial"
"CLA_1","Clarity","Does the review assess readability, organisation, information flow, or presentation in a way that would help the authors revise the paper?","yes/partial/no/not_applicable","partial"
"CLA_2","Clarity","Does the review identify unclear definitions, notation, terminology, figures, tables, or technical exposition where these affect understanding?","yes/partial/no/not_applicable","partial"
"ETH_1","Ethics","Where relevant, does the review identify ethical, social, safety, fairness, bias, privacy, data-governance, release, or environmental concerns, or justify why none are apparent?","yes/partial/no/not_applicable","yes"
